"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","response"
0.683180278167129,0.955994250718504,0.1072401877027,0.307183628669009,0.681901388568804,0.0734121720306575,0.471578125143424,0.0556851604487747,0.0930311258416623,0.683242846513167,0.392969749169424,0.632840513251722,0.0425132664386183,0.935762534849346,0.271433433284983,0.720952609786764,0.518013507593423,0.244164230767637,0.402546970872208,0.736632556654513,"class1"
0.00187249109148979,0.158595521468669,0.331243442604318,0.363787448499352,0.253932544728741,0.514300389913842,0.603579869959503,0.780644860817119,0.559440851444378,0.532347907079384,0.607025885954499,0.353473788360134,0.2281479020603,0.601865711389109,0.200145493727177,0.149646636331454,0.305355610325933,0.224503820296377,0.598169397562742,0.295445347437635,"class1"
0.70585650135763,0.802791686030105,0.236665942007676,0.991766231833026,0.791368920588866,0.222753997659311,0.43554994254373,0.12491297442466,0.626043864060193,0.624132249504328,0.752536334097385,0.226971900556237,0.416774253593758,0.705717016477138,0.923034557141364,0.16249861009419,0.506007561227307,0.172907447442412,0.0352787403389812,0.864105882821605,"class2"
0.491473333211616,0.881182692712173,0.676108299288899,0.679530667373911,0.515507772099227,0.00848721293732524,0.224428532645106,0.0224394418764859,0.156169386114925,0.414928364101797,0.675961216911674,0.198763201246038,0.383698495104909,0.135485239792615,0.452037265989929,0.879300883738324,0.72896646312438,0.921916032442823,0.692532485350966,0.221214896067977,"class2"
0.72927501029335,0.799410416511819,0.358771392842755,0.695074283285066,0.776730381185189,0.315016665030271,0.632158911554143,0.606893959920853,0.619369646999985,0.734442975372076,0.213718213606626,0.0396650854963809,0.0431091105565429,0.436992755858228,0.439244818408042,0.495285759679973,0.454230107367039,0.403497774153948,0.0935626151040196,0.755061541916803,"class1"
0.162764203036204,0.548221807228401,0.769729836145416,0.0405480982735753,0.578455879585817,0.657305776840076,0.377330112271011,0.407513032667339,0.951243932358921,0.982714967569336,0.508840491995215,0.481756427092478,0.170176859945059,0.351154745789245,0.436204201774672,0.729994429275393,0.829285308951512,0.711460525868461,0.543701414717361,0.423735750373453,"class2"
0.523205139441416,0.747192189330235,0.0153011116199195,0.127817808417603,0.506439836230129,0.853120067156851,0.322294068988413,0.329413431463763,0.668341007782146,0.721973117208108,0.126844355138019,0.235967089887708,0.113809496862814,0.30637990985997,0.642348730936646,0.33325910451822,0.758822742383927,0.329464533831924,0.306475482881069,0.256983201019466,"class1"
0.546423484105617,0.0815149350091815,0.489845814649016,0.736784167122096,0.23674222570844,0.0548785824794322,0.941017484525219,0.805746647296473,0.728046073811129,0.261085251579061,0.991477840812877,0.710321887629107,0.346732845297083,0.278914115391672,0.134966559475288,0.577786803944036,0.71747200191021,0.504160847514868,0.330505620455369,0.193816656945273,"class2"
0.781773423077539,0.137937980471179,0.222981557482854,0.0839891007635742,0.32088955421932,0.238940278301015,0.175327801378444,0.298902830807492,0.139310894999653,0.0994304555933923,0.477493341779336,0.452372553059831,0.448424304137006,0.218644649954513,0.347973599331453,0.780099944444373,0.988873923430219,0.154639379819855,0.648693632800132,0.0136481802910566,"class2"
0.0927339177578688,0.279083682456985,0.272775921737775,0.711159738712013,0.377256232546642,0.387927569216117,0.0958825275301933,0.602908651577309,0.195753499865532,0.356262068264186,0.827872614841908,0.153624517843127,0.738626955542713,0.933950648410246,0.841981929494068,0.728245656006038,0.972959119360894,0.348550426075235,0.684040701249614,0.248046790482476,"class1"
